Date,Ajusted_Close
2020-09-01,133.32249450683594
2020-09-02,130.5602569580078
2020-09-03,120.10748291015625
2020-09-04,120.18698120117188
2020-09-08,112.0989990234375
2020-09-09,116.57024383544922
2020-09-10,112.76471710205078
2020-09-11,111.28424072265625
2020-09-14,114.62276458740234
2020-09-15,114.80162048339844
2020-09-16,111.41340637207031
2020-09-17,109.63484954833984
2020-09-18,106.15721130371094
2020-09-21,109.37651062011719
2020-09-22,111.09545135498047
2020-09-23,106.43543243408203
2020-09-24,107.52839660644531
2020-09-25,111.56244659423828
2020-09-28,114.2253189086914
2020-09-29,113.36088562011719
2020-09-30,115.06988525390625
2020-10-01,116.04363250732422
2020-10-02,112.29771423339844
2020-10-05,115.75548553466797
2020-10-06,112.43682861328125
2020-10-07,114.34456634521484
2020-10-08,114.23526000976562
2020-10-09,116.22248077392578
2020-10-12,123.60499572753906
2020-10-13,120.32608032226562
2020-10-14,120.41551208496094
2020-10-15,119.9385757446289
2020-10-16,118.25936889648438
2020-10-19,115.23881530761719
2020-10-20,116.75902557373047
2020-10-21,116.12312316894531
2020-10-22,115.01028442382812
2020-10-23,114.3048095703125
2020-10-26,114.31475067138672
2020-10-27,115.85484313964844
2020-10-28,110.48934936523438
2020-10-29,114.58302307128906
2020-10-30,108.164306640625
2020-11-02,108.07488250732422
2020-11-03,109.73421478271484
2020-11-04,114.21537780761719
2020-11-05,118.26931762695312
2020-11-06,118.13494873046875
2020-11-09,115.77603149414062
2020-11-10,115.42766571044922
2020-11-11,118.93119812011719
2020-11-12,118.65251159667969
2020-11-13,118.70228576660156
2020-11-16,119.73741912841797
2020-11-17,118.83167266845703
2020-11-18,117.47802734375
2020-11-19,118.0851821899414
2020-11-20,116.79125213623047
2020-11-23,113.31757354736328
2020-11-24,114.63140869140625
2020-11-25,115.48738098144531
2020-11-27,116.04476165771484
2020-11-30,118.49327087402344
2020-12-01,122.14610290527344
2020-12-02,122.50442504882812
2020-12-03,122.36507415771484
2020-12-04,121.67829895019531
2020-12-07,123.1712875366211
2020-12-08,123.79833984375
2020-12-09,121.21048736572266
2020-12-10,122.66366577148438
2020-12-11,121.83755493164062
2020-12-14,121.21048736572266
2020-12-15,127.28196716308594
2020-12-16,127.21229553222656
2020-12-17,128.09812927246094
2020-12-18,126.06768035888672
2020-12-21,127.63033294677734
2020-12-22,131.2632598876953
2020-12-23,130.3475799560547
2020-12-24,131.3528289794922
2020-12-28,136.05076599121094
2020-12-29,134.23927307128906
2020-12-30,133.09466552734375
2020-12-31,132.06947326660156
2021-01-04,128.80482482910156
2021-01-05,130.39732360839844
2021-01-06,126.0079574584961
2021-01-07,130.30775451660156
2021-01-08,131.43246459960938
2021-01-11,128.3768310546875
2021-01-12,128.19766235351562
2021-01-13,130.27789306640625
2021-01-14,128.30715942382812
2021-01-15,126.54542541503906
2021-01-19,127.23220825195312
2021-01-20,131.41256713867188
2021-01-21,136.2299346923828
2021-01-22,138.4196319580078
2021-01-25,142.25161743164062
2021-01-26,142.4905242919922
2021-01-27,141.39566040039062
2021-01-28,136.44888305664062
2021-01-29,131.34288024902344
2021-02-01,133.5126953125
2021-02-02,134.35873413085938
2021-02-03,133.31361389160156
2021-02-04,136.74749755859375
2021-02-05,136.32383728027344
2021-02-08,136.47337341308594
2021-02-09,135.57623291015625
2021-02-10,134.9582061767578
2021-02-11,134.6990509033203
2021-02-12,134.93826293945312
2021-02-16,132.76524353027344
2021-02-17,130.4227294921875
2021-02-18,129.29632568359375
2021-02-19,129.45582580566406
2021-02-22,125.5981674194336
2021-02-23,125.45861053466797
2021-02-24,124.95023345947266
2021-02-25,120.60414123535156
2021-02-26,120.87328338623047
2021-03-01,127.38246154785156
2021-03-02,124.7209701538086
2021-03-03,121.67072296142578
2021-03-04,119.74687957763672
2021-03-05,121.03276824951172
2021-03-08,115.98890686035156
2021-03-09,120.70381927490234
2021-03-10,119.59737396240234
2021-03-11,121.571044921875
2021-03-12,120.64401245117188
2021-03-15,123.59457397460938
2021-03-16,125.1695327758789
2021-03-17,124.36212158203125
2021-03-18,120.1456069946289
2021-03-19,119.60733032226562
2021-03-22,122.99649047851562
2021-03-23,122.14920043945312
2021-03-24,119.7070083618164
2021-03-25,120.20541381835938
2021-03-26,120.82344055175781
2021-03-29,121.00286102294922
2021-03-30,119.51761627197266
2021-03-31,121.76044464111328
2021-04-01,122.60772705078125
2021-04-05,125.49848937988281
2021-04-06,125.8074951171875
2021-04-07,127.49210357666016
2021-04-08,129.9442596435547
2021-04-09,132.57583618164062
2021-04-12,130.8214569091797
2021-04-13,134.0012664794922
2021-04-14,131.6089324951172
2021-04-15,134.07106018066406
2021-04-16,133.73214721679688
2021-04-19,134.4099578857422
2021-04-20,132.6855010986328
2021-04-21,133.07423400878906
2021-04-22,131.51922607421875
2021-04-23,133.89163208007812
2021-04-26,134.2903594970703
2021-04-27,133.96139526367188
2021-04-28,133.15399169921875
2021-04-29,133.05430603027344
2021-04-30,131.04075622558594
2021-05-03,132.11729431152344
2021-05-04,127.4422607421875
2021-05-05,127.69147491455078
2021-05-06,129.32623291015625
2021-05-07,130.0152130126953
2021-05-10,126.66022491455078
2021-05-11,125.72164154052734
2021-05-12,122.58633422851562
2021-05-13,124.78304290771484
2021-05-14,127.25933074951172
2021-05-17,126.08109283447266
2021-05-18,124.66322326660156
2021-05-19,124.50346374511719
2021-05-20,127.11953735351562
2021-05-21,125.24235534667969
2021-05-24,126.90985107421875
2021-05-25,126.71015930175781
2021-05-26,126.66022491455078
2021-05-27,125.09257507324219
2021-05-28,124.423583984375
2021-06-01,124.09407043457031
2021-06-02,124.8729019165039
2021-06-03,123.35518646240234
2021-06-04,125.70166778564453
2021-06-07,125.71165466308594
2021-06-08,126.5503921508789
2021-06-09,126.93981170654297
2021-06-10,125.92134094238281
2021-06-11,127.15947723388672
2021-06-14,130.2847900390625
2021-06-15,129.44606018066406
2021-06-16,129.95529174804688
2021-06-17,131.59283447265625
2021-06-18,130.26483154296875
2021-06-21,132.10208129882812
2021-06-22,133.77955627441406
2021-06-23,133.49998474121094
2021-06-24,133.21041870117188
2021-06-25,132.91087341308594
2021-06-28,134.578369140625
2021-06-29,136.1260528564453
2021-06-30,136.75511169433594
2021-07-01,137.0646514892578
2021-07-02,139.75062561035156
2021-07-06,141.8075408935547
2021-07-07,144.35372924804688
2021-07-08,143.0257110595703
2021-07-09,144.89291381835938
2021-07-12,144.28382873535156
2021-07-13,145.422119140625
2021-07-14,148.92686462402344
2021-07-15,148.25787353515625
2021-07-16,146.17098999023438
2021-07-19,142.2368927001953
2021-07-20,145.9313507080078
2021-07-21,145.18247985839844
2021-07-22,146.58038330078125
